_id,date,center_name,attendance_count
53933936,2026-02-19,Warrington Community Center,48
53933937,2026-02-18,Paulson Community Center,14
53933938,2026-02-18,West Penn Community Center,48
53933939,2026-02-18,Ammon Community Center,21
53933940,2026-02-18,Arlington Community Center,23
53933941,2026-02-18,Brookline Community Center,32
53933942,2026-02-18,Magee Community Center,55
53933943,2026-02-18,Jefferson Community Center,65
53933944,2026-02-18,Ormsby Community Center,44
53933945,2026-02-18,Warrington Community Center,52
53933946,2026-02-18,Phillips Community Center,184
53933947,2026-02-17,Paulson Community Center,16
53933948,2026-02-17,Phillips Community Center,85
53933949,2026-02-17,West Penn Community Center,144
53933950,2026-02-17,Ammon Community Center,11
53933951,2026-02-17,Brookline Community Center,55
53933952,2026-02-17,Arlington Community Center,29
53933953,2026-02-17,Jefferson Community Center,66
53933954,2026-02-17,Magee Community Center,64
53933955,2026-02-17,Ormsby Community Center,41
53933956,2026-02-17,Warrington Community Center,73
53933957,2026-02-16,Phillips Community Center,113
53933958,2026-02-16,Paulson Community Center,6
53933959,2026-02-16,West Penn Community Center,119
53933960,2026-02-16,Ammon Community Center,6
53933961,2026-02-16,Arlington Community Center,35
53933962,2026-02-16,Brookline Community Center,39
53933963,2026-02-16,Magee Community Center,53
53933964,2026-02-16,Jefferson Community Center,60
53933965,2026-02-16,Ormsby Community Center,35
53933966,2026-02-16,Warrington Community Center,80
53933967,2026-02-14,Paulson Community Center,1
53933968,2026-02-14,Phillips Community Center,8
53933969,2026-02-14,West Penn Community Center,19
53933970,2026-02-14,Arlington Community Center,8
53933971,2026-02-14,Magee Community Center,5
53933972,2026-02-14,Ormsby Community Center,36
53933973,2026-02-14,Warrington Community Center,22
53933974,2026-02-13,Phillips Community Center,57
53933975,2026-02-13,Paulson Community Center,24
53933976,2026-02-13,West Penn Community Center,82
53933977,2026-02-13,Ammon Community Center,49
53933978,2026-02-13,Arlington Community Center,21
53933979,2026-02-13,Brookline Community Center,33
53933980,2026-02-13,Magee Community Center,39
53933981,2026-02-13,Jefferson Community Center,30
53933982,2026-02-13,Ormsby Community Center,33
53933983,2026-02-13,Warrington Community Center,53
53933984,2026-02-12,Paulson Community Center,12
53933985,2026-02-12,Phillips Community Center,77
53933986,2026-02-12,West Penn Community Center,168
53933987,2026-02-12,Ammon Community Center,42
53933988,2026-02-12,Brookline Community Center,44
53933989,2026-02-12,Arlington Community Center,18
53933990,2026-02-12,Jefferson Community Center,35
53933991,2026-02-12,Magee Community Center,53
53933992,2026-02-12,Ormsby Community Center,11
53933993,2026-02-12,Warrington Community Center,56
53933994,2026-02-11,Phillips Community Center,196
53933995,2026-02-11,Paulson Community Center,20
53933996,2026-02-11,West Penn Community Center,96
53933997,2026-02-11,Ammon Community Center,25
53933998,2026-02-11,Arlington Community Center,25
53933999,2026-02-11,Brookline Community Center,36
53934000,2026-02-11,Magee Community Center,27
53934001,2026-02-11,Jefferson Community Center,66
53934002,2026-02-11,Ormsby Community Center,26
53934003,2026-02-11,Warrington Community Center,48
53934004,2026-02-10,Paulson Community Center,19
53934005,2026-02-10,Phillips Community Center,47
53934006,2026-02-10,West Penn Community Center,154
53934007,2026-02-10,Ammon Community Center,30
53934008,2026-02-10,Brookline Community Center,46
53934009,2026-02-10,Arlington Community Center,19
53934010,2026-02-10,Jefferson Community Center,48
53934011,2026-02-10,Magee Community Center,23
53934012,2026-02-10,Warrington Community Center,45
53934013,2026-02-09,Phillips Community Center,63
53934014,2026-02-09,Paulson Community Center,9
53934015,2026-02-09,West Penn Community Center,216
53934016,2026-02-09,Ammon Community Center,4
53934017,2026-02-09,Arlington Community Center,25
53934018,2026-02-09,Brookline Community Center,35
53934019,2026-02-09,Magee Community Center,20
53934020,2026-02-09,Jefferson Community Center,49
53934021,2026-02-09,Ormsby Community Center,17
53934022,2026-02-09,Warrington Community Center,80
53934023,2026-02-07,Phillips Community Center,2
53934024,2026-02-07,West Penn Community Center,209
53934025,2026-02-07,Magee Community Center,7
53934026,2026-02-07,Ormsby Community Center,2
53934027,2026-02-07,Warrington Community Center,8
53934028,2026-02-06,Phillips Community Center,33
53934029,2026-02-06,Paulson Community Center,17
53934030,2026-02-06,West Penn Community Center,68
53934031,2026-02-06,Ammon Community Center,25
53934032,2026-02-06,Brookline Community Center,24
53934033,2026-02-06,Arlington Community Center,17
53934034,2026-02-06,Magee Community Center,32
53934035,2026-02-06,Ormsby Community Center,11
53934036,2026-02-06,Warrington Community Center,25
53934037,2026-02-05,Paulson Community Center,12
53934038,2026-02-05,Phillips Community Center,58
53934039,2026-02-05,West Penn Community Center,193
53934040,2026-02-05,Ammon Community Center,33
53934041,2026-02-05,Arlington Community Center,13
53934042,2026-02-05,Brookline Community Center,42
53934043,2026-02-05,Magee Community Center,16
53934044,2026-02-05,Jefferson Community Center,29
53934045,2026-02-05,Ormsby Community Center,13
53934046,2026-02-05,Warrington Community Center,167
53934047,2026-02-04,Phillips Community Center,220
53934048,2026-02-04,Paulson Community Center,16
53934049,2026-02-04,West Penn Community Center,131
53934050,2026-02-04,Ammon Community Center,5
53934051,2026-02-04,Brookline Community Center,25
53934052,2026-02-04,Arlington Community Center,15
53934053,2026-02-04,Jefferson Community Center,57
53934054,2026-02-04,Magee Community Center,24
53934055,2026-02-04,Ormsby Community Center,11
53934056,2026-02-04,Warrington Community Center,63
53934057,2026-02-03,Paulson Community Center,16
53934058,2026-02-03,Phillips Community Center,53
53934059,2026-02-03,West Penn Community Center,141
53934060,2026-02-03,Ammon Community Center,5
53934061,2026-02-03,Arlington Community Center,15
53934062,2026-02-03,Brookline Community Center,45
53934063,2026-02-03,Magee Community Center,21
53934064,2026-02-03,Jefferson Community Center,50
53934065,2026-02-03,Ormsby Community Center,13
53934066,2026-02-03,Warrington Community Center,31
53934067,2026-02-02,Phillips Community Center,59
53934068,2026-02-02,Paulson Community Center,20
53934069,2026-02-02,West Penn Community Center,188
53934070,2026-02-02,Ammon Community Center,5
53934071,2026-02-02,Brookline Community Center,40
53934072,2026-02-02,Arlington Community Center,18
53934073,2026-02-02,Jefferson Community Center,29
53934074,2026-02-02,Magee Community Center,21
53934075,2026-02-02,Ormsby Community Center,13
53934076,2026-02-02,Warrington Community Center,23
53934077,2026-01-31,Phillips Community Center,12
53934078,2026-01-31,West Penn Community Center,104
53934079,2026-01-31,Magee Community Center,1
53934080,2026-01-31,Ormsby Community Center,8
53934081,2026-01-31,Warrington Community Center,24
53934082,2026-01-30,Phillips Community Center,20
53934083,2026-01-30,Paulson Community Center,4
53934084,2026-01-30,West Penn Community Center,76
53934085,2026-01-30,Arlington Community Center,14
53934086,2026-01-30,Brookline Community Center,22
53934087,2026-01-30,Ormsby Community Center,9
53934088,2026-01-30,Warrington Community Center,31
53934089,2026-01-29,Paulson Community Center,3
53934090,2026-01-29,Phillips Community Center,33
53934091,2026-01-29,West Penn Community Center,65
53934092,2026-01-29,Ammon Community Center,4
53934093,2026-01-29,Brookline Community Center,21
53934094,2026-01-29,Arlington Community Center,5
53934095,2026-01-29,Magee Community Center,1
53934096,2026-01-29,Ormsby Community Center,6
53934097,2026-01-29,Warrington Community Center,18
53934098,2026-01-28,Phillips Community Center,22
53934099,2026-01-28,West Penn Community Center,37
53934100,2026-01-28,Brookline Community Center,5
53934101,2026-01-28,Magee Community Center,11
53934102,2026-01-28,Warrington Community Center,14
53934103,2026-01-27,Phillips Community Center,8
53934104,2026-01-27,Magee Community Center,4
53934105,2026-01-27,Warrington Community Center,11
53934106,2026-01-26,Phillips Community Center,12
53934107,2026-01-26,Warrington Community Center,2
53934108,2026-01-24,Phillips Community Center,6
53934109,2026-01-24,West Penn Community Center,205
53934110,2026-01-24,Arlington Community Center,4
53934111,2026-01-24,Magee Community Center,11
53934112,2026-01-24,Ormsby Community Center,7
53934113,2026-01-24,Warrington Community Center,11
53934114,2026-01-23,Phillips Community Center,50
53934115,2026-01-23,Paulson Community Center,11
53934116,2026-01-23,West Penn Community Center,70
53934117,2026-01-23,Arlington Community Center,16
53934118,2026-01-23,Brookline Community Center,25
53934119,2026-01-23,Magee Community Center,38
53934120,2026-01-23,Jefferson Community Center,13
53934121,2026-01-23,Ormsby Community Center,10
53934122,2026-01-23,Warrington Community Center,35
53934123,2026-01-22,Paulson Community Center,22
53934124,2026-01-22,Phillips Community Center,66
53934125,2026-01-22,West Penn Community Center,127
53934126,2026-01-22,Ammon Community Center,236
53934127,2026-01-22,Brookline Community Center,38
